Id,CourseName,CategoryId,SubCategoryId,Duration,Campus,MaxBacklogsAllowed,AppFeeWaiverAvailable,ApplicationFee,TutionFee,ApplicationFeeAmt,WithoutEnglishProficiency,WithoutMaths,IsStemCourse,ScholarshipAvailable,InternshipAvailable,ScholarshipDeatil,UniversityId,universityName,universityCity,universityState,Currency,USNewsRanking,QSRanking,PteScore,PteNoSectionLessThan,IeltsOverall,IeltsNoBandLessThan,Remarks,TuitionFeeAUD,EntryRequirementTwelfthOutOf100,EntryRequirementTwelfthOutOf45,EntryRequirementTwelfthOutOf10,EntryRequirementTwelfthOutOf7,EntryRequirementTwelfthOutOf5,EntryRequirementTwelfthOutOf4,ToeflRequired,PteRequired,DisplayIntakes,CBSE_RequiredScore
88490,Bachelor of Actuarial Studies,15,152,36,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,"Prerequisites: Mathematics_x000D_
The cross-disciplinary AI in Business and Society major is available in the Bachelor of Commerce, Bachelor of Economics, Bachelor of Actuarial Studies, Bachelor of Arts and Bachelor of Social Sciences, and is a new specialisation in the Master of Commerce and Master of Commerce (Extension).",55000,85,37,8.5,5.95,4.25,3.4,0,1,"['Feb', 'May', 'Sep']",87
88491,Bachelor of Actuarial Studies and Bachelor of Commerce,"4, 15","26, 152, 211",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,55000,85,37,8.5,5.95,4.25,3.4,0,1,"['Feb', 'May', 'Sep']",87
88492,Bachelor of Actuarial Studies and Bachelor of Economics,"4, 15, 19","26, 152, 179",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,54500,85,37,8.5,5.95,4.25,3.4,0,1,"['Feb', 'May', 'Sep']",87
88493,Bachelor of Actuarial Studies and Bachelor of Law,"12, 15","129, 152",60,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,54500,85,37,8.5,5.95,4.25,3.4,0,1,"['Feb', 'Sep']",87
88494,Bachelor of Actuarial Studies and Bachelor of Science,"15, 17","152, 216",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,55500,85,37,8.5,5.95,4.25,3.4,0,1,"['Feb', 'May', 'Sep']",87
88495,Bachelor of Actuarial Studies and Bachelor of Science (Advanced Mathematics) (Honours),15,"152, 153",60,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,55500,85,37,8.5,5.95,4.25,3.4,0,1,"['Feb', 'May', 'Sep']",87
112873,Bachelor of Actuarial Studies / Computer Science,"15, 5","152, 32, 33",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,56500,85,37,8.5,5.95,4.25,3.4,0,1,"['Feb', 'May', 'Sep']",87
112874,Bachelor of Actuarial Studies / Information Systems,"15, 4, 5","152, 198, 238",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,55000,85,37,8.5,5.95,4.25,3.4,0,1,"['Feb', 'May', 'Sep']",87
210917,Bachelor of Advanced Computer Science (Honours),5,32,48,Kensington (Sydney),0,0,AUD 150,"AU$ 58,000 /year",150,0,0,0,0,0,,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$,34,20,64,54,6.5,6,"For more information, please visit the university website.",58000,65,,6.5,,,,0,1,"['Feb', 'May', 'Sep']",
88496,Bachelor of Advanced Science (Honours),17,216,48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : Mathematics Advanced or Mathematics Extension 1 (depending on chosen area of study) plus one or more of Biology, Chemistry, Earth and Environmental Science, Physics.",57500,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",82
